"ID","French","English","Italian","German","Russian","Spanish","LatAm","Czech","Hungarian","Polish","IdPlayerNameTypes","Part"
"2659"," the Predator"," the Predator"," il predatore"," der Räuber"," Хищник"," el Depredador"," el Depredador",""," the Predator"," Drapieżnik","35","2"
"2660"," the Murderor"," the Murderor"," l'uccisore"," der Mörder"," Кровожадный"," el Homicida"," el Homicida",""," the Murderor"," Morderca","35","2"
"2661"," the Champion"," the Champion"," il campione"," der Champion"," Заступник"," el Campeón"," el Campeón",""," the Champion"," Czempion","35","2"
"2662"," the Cold-hearted"," the Cold-hearted"," lo spietato"," der Kaltherzige"," Хладнокровный"," Corazón de hielo"," Corazón de hielo",""," the Cold-hearted"," Nieczuły","35","2"
"2663"," the Angry"," the Angry"," l'iroso"," der Wütende"," Яростный"," el Enfadado"," el Enfadado",""," the Angry"," Złośnik","35","2"
"2664"," the Usurper"," the Usurper"," l'usurpatore"," der Hungrige"," Узурпатор"," el Usurpador"," el Usurpador",""," the Usurper"," Uzurpator","35","2"
"2665"," the Tyrant"," the Tyrant"," il tiranno"," der Tyrann"," Тиран"," el Tirano"," el Tirano",""," the Tyrant"," Tyran","35","2"
"2666"," the Mean"," the Mean"," lo spregevole"," der Gemeine"," Скупой"," el Tacaño"," el Tacaño",""," the Mean"," Podlec","35","2"
"2667"," the Feared"," the Feared"," il temuto"," der Gefürchtete"," Устрашающий"," el Temido"," el Temido",""," the Feared"," Strachliwy","35","2"
"2668"," the Terror"," the Terror"," il terrore"," der Schrecken"," Ужасающий"," el Terror"," el Terror",""," the Terror"," Postrach","35","2"
"2669"," the Wrathful"," the Wrathful"," il rabbioso"," der Zornige"," Разгневанный"," el Enfurecido"," el Enfurecido",""," the Wrathful"," Gniewny","35","2"
"2670"," the Cruel"," the Cruel"," il crudele"," der Gnadenlose"," Жестокий"," el Cruel"," el Cruel",""," the Cruel"," Okrutnik","35","2"
"2671"," von Broken"," von Broken"," von Broken"," von Broken"," фон Падший"," von Roto"," von Roto",""," von Broken"," Połamaniec","35","2"
"2672"," the Stern"," the Stern"," il severo"," der Strenge"," Строгий"," el Severo"," el Severo",""," the Stern"," Srogi","35","2"
"2673"," the Butcher"," the Butcher"," il macellaio"," der Zerhacker"," Мясник"," el Carnicero"," el Carnicero",""," the Butcher"," Rzeźnik","35","2"
"2674"," the Mutilator"," the Mutilator"," l'amputatore"," der Verstümmler"," Расчленитель"," el Mutilador"," el Mutilador",""," the Mutilator"," Oprawca","35","2"
"2675"," the Unmatched"," the Unmatched"," l'imbattuto"," der Unvergleichliche"," Несравненный"," el Inigualabre"," el Inigualabre",""," the Unmatched"," Niezrównany","35","2"
"2676"," the Unrivalled"," the Unrivalled"," il rivale"," der Unerreichte"," Непревзойденный"," Sin rival"," Sin rival",""," the Unrivalled"," Niepokonany","35","2"
"2677"," the Kinslayer"," the Kinslayer"," il fratricida"," der Massenmörder"," Братоубийца"," Matafamiliares"," Matafamiliares",""," the Kinslayer"," Bratobójca","35","2"
"2678"," the Despised"," the Despised"," il disprezzato"," der Verstoßene"," Презренный"," el Despreciado"," el Despreciado",""," the Despised"," Wzgardzony","35","2"
"2679"," the Demonhunter"," the Demonhunter"," il cacciademoni"," der Dämonenjäger"," Демоноборец"," Cazademonios"," Cazademonios",""," the Demonhunter"," Łowca Demonów","35","2"
"2680"," the Dragonslayer"," the Dragonslayer"," l'ammazzadraghi"," der Drachentöter"," Драконоборец"," Matadragones"," Matadragones",""," the Dragonslayer"," Zabójca Smoków","35","2"
"2681"," the Grim"," the Grim"," l'arcigno"," der Grimmige"," Угрюмый"," el Nefasto"," el Nefasto",""," the Grim"," Ponury","35","2"
"2682"," the Maimer"," the Maimer"," il menomatore"," der Zermalmer"," Калечащий"," el Mutilador"," el Mutilador",""," the Maimer"," Kat","35","2"
"2683"," the Orator"," the Orator"," il loquace"," der Schwaller"," Красноречивый"," el Orador"," el Orador",""," the Orator"," Mówca","35","2"
"2684"," the Blooddrinker"," the Blooddrinker"," il bevisangue"," der Blutdürstige"," Кровопийца"," Bebesangre"," Bebesangre",""," the Blooddrinker"," Krwiopijca","35","2"
"2685"," the Terrible"," the Terrible"," il terribile"," der Ruchlose"," Грозный"," el Terrible"," el Terrible",""," the Terrible"," Straszny","35","2"
"2686"," the Unjust"," the Unjust"," l'ingiusto"," der Ungerechte"," Несправедливый"," el Injusto"," el Injusto",""," the Unjust"," Niesprawiedliwy","35","2"
"2687"," the Hero"," the Hero"," l'eroe"," der Held"," Герой"," el Héroe"," el Héroe",""," the Hero"," Bohater","35","2"
"2688"," the Villian"," the Villian"," il malvagio"," der Böse"," Злодей"," el Villano"," el Villano",""," the Villian"," Wieśniak","35","2"
"2689"," the Faithless"," the Faithless"," l'infedele"," der Ungläubige"," Вероломный"," el Infiel"," el Infiel",""," the Faithless"," Niewierny","35","2"
"2690","Frank","Frank","Frank","Frank","Френк","Frank","Frank","","Frank","Frank","36","1"
"2691","Stein","Stein","Stein","Stein","Штайн","Stein","Stein","","Stein","Stein","36","1"
"2692","Sten","Sten","Sten","Sten","Стэн","Sten","Sten","","Sten","Sten","36","1"
"2693","Sikvor","Sikvor","Sikvor","Sikvor","Сиквор","Sikvor","Sikvor","","Sikvor","Sikvor","36","1"
"2694","Pinoch","Pinoch","Pinoch","Pinoch","Пинох","Pinoch","Pinoch","","Pinoch","Pinoch","36","1"
"2695","Gregor","Gregor","Gregor","Gregor","Грегор","Gregor","Gregor","","Gregor","Gregor","36","1"
"2696","Yngve","Yngve","Yngve","Yngve","Ингве","Yngve","Yngve","","Yngve","Yngve","36","1"
"2697","Armond","Armond","Armond","Armond","Армонд","Armond","Armond","","Armond","Armond","36","1"
"2698","Perry","Perry","Perry","Perry","Перри","Perry","Perry","","Perry","Perry","36","1"
"2699","Ior","Ior","Ior","Ior","Иор","Ior","Ior","","Ior","Ior","36","1"
"2700","Gui","Gui","Gui","Gui","Гуи","Gui","Gui","","Gui","Gui","36","1"
"2701","Montag","Montag","Montag","Montag","Монтег","Montag","Montag","","Montag","Montag","36","1"
"2702","Atlach","Atlach","Atlach","Atlach","Атлах","Atlach","Atlach","","Atlach","Atlach","36","1"
"2703","Geomideer","Geomideer","Geomideer","Geomideer","Геомидир","Geomideer","Geomideer","","Geomideer","Geomideer","36","1"
"2704","Bokrihoot","Bokrihoot","Bokrihoot","Bokrihoot","Бокрихут","Bokrihoot","Bokrihoot","","Bokrihoot","Bokrihoot","36","1"
"2705","Aerosnot","Aerosnot","Aerosnot","Aerosnot","Аэронос","Aerosnot","Aerosnot","","Aerosnot","Aerosnot","36","1"
"2706","Ghastu","Ghastu","Ghastu","Ghastu","Гхасту","Ghastu","Ghastu","","Ghastu","Ghastu","36","1"
"2707","Gugohoot","Gugohoot","Gugohoot","Gugohoot","Гугохут","Gugohoot","Gugohoot","","Gugohoot","Gugohoot","36","1"
"2708","Bait","Bait","Bait","Bait","Манок","Bait","Bait","","Bait","Bait","36","1"
"2709","Spud","Spud","Spud","Spud","Мотыг","Spud","Spud","","Spud","Spud","36","1"
"2710","Cootie","Cootie","Cootie","Cootie","Крысавец","Cootie","Cootie","","Cootie","Cootie","36","1"
"2711","Guapo","Guapo","Guapo","Guapo","Гуапо","Guapo","Guapo","","Guapo","Guapo","36","1"
"2712","Igor","Igor","Igor","Igor","Игорь","Igor","Igor","","Igor","Igor","36","1"
"2713","Ivan","Ivan","Ivan","Ivan","Иван","Ivan","Ivan","","Ivan","Ivan","36","1"
"2714","Nowbah","Nowbah","Nowbah","Nowbah","Нудык","Nowbah","Nowbah","","Nowbah","Nowbah","36","1"
"2715"," le revenant"," the Returned"," il ritornato"," der Wiederkehrende"," Вернувшийся"," el Regresado"," el Regresado",""," the Returned"," Powracający","36","2"
"2716"," le cadavérique"," the Cadaverous"," il cadaverico"," der Leichenhafte"," Трупный"," el Cadavérico"," el Cadavérico",""," the Cadaverous"," Trupioblady","36","2"
"2717"," le putréfié"," the Mouldering"," il decomposto"," der Modernde"," Разлагающийся"," tel Desmoronado"," tel Desmoronado",""," the Mouldering"," Gnijący","36","2"
"2718"," le déterré"," the Disinterred"," il disotterrato"," der Exhumierte"," Эксгумированный"," el Desenterrado"," el Desenterrado",""," the Disinterred"," Ekshumator","36","2"
"2719"," le frappeur"," the Haunter"," il persecutore"," der Heimsucher"," Призрак"," el Vagador"," el Vagador",""," the Haunter"," Prześladowca","36","2"
"2720"," le remis sur pied"," the Revived"," il redivivo"," der Wiederbelebte"," Оживший"," el Resucitado"," el Resucitado",""," the Revived"," Ożywieniec","36","2"
"2721"," l'horrible"," the Horrible"," l'orribile"," der Schreckliche"," Ужасный"," el Horrible"," el Horrible",""," the Horrible"," Okropny","36","2"
"2722"," le décrépit"," the Decrepit"," il decrepito"," der Schwache"," Дряхлейший"," el Decrépito"," el Decrépito",""," the Decrepit"," Wyniszczony","36","2"
"2723"," le véloce"," the Rapid"," il rabbioso"," der Schnelle"," Стремительный"," el Rápido"," el Rápido",""," the Rapid"," Nagły","36","2"
"2724"," le beau"," the Handsome"," il bello"," der Hübsche"," Симпатичный"," el Guapo"," el Guapo",""," the Handsome"," Przystojny","36","2"
"2725"," l'éveilleur"," the Awaker"," il ridestatore"," der Erwecker"," Пробудитель"," el Despertador"," el Despertador",""," the Awaker"," Przebudzony","36","2"
"2726"," le sage"," the Wise"," il saggio"," der Kluge"," Мудрый"," el Sabio"," el Sabio",""," the Wise"," Mądry","36","2"
"2727"," rustine"," Patch"," Benda"," der Näher"," Заплатанный"," Remiendo"," Remiendo",""," Patch"," Opaska","36","2"
"2728"," couture"," Stitch"," Sutura"," der Stecher"," Заштопанный"," Puntada"," Puntada",""," Stitch"," Szew","36","2"
"2729"," l'innarrêtable"," the Unstoppable"," l'implacabile"," der Unaufhaltbare"," Неудержимый"," el Imparable"," el Imparable",""," the Unstoppable"," Niepowstrzymany","36","2"
"2730"," le triste"," the Sad"," il triste"," der Traurige"," Печальный"," el Triste"," el Triste",""," the Sad"," Smutny","36","2"
"2731","Gorlarg","Gorlarg","Gorlarg","Gorlarg","Горларг","Gorlarg","Gorlarg","","Gorlarg","Gorlarg","37","1"
"2732","Harmyrk","Harmyrk","Harmyrk","Harmyrk","Хармырк","Harmyrk","Harmyrk","","Harmyrk","Harmyrk","37","1"
"2733","Grolack","Grolack","Grolack","Grolack","Гролак","Grolack","Grolack","","Grolack","Grolack","37","1"
"2734","Warlack","Warlack","Warlack","Warlack","Варлак","Warlack","Warlack","","Warlack","Warlack","37","1"
"2735","Jarluck","Jarluck","Jarluck","Jarluck","Джарлак","Jarluck","Jarluck","","Jarluck","Jarluck","37","1"
"2736","Hoktusk","Hoktusk","Hoktusk","Hoktusk","Хоклык","Hoktusk","Hoktusk","","Hoktusk","Hoktusk","37","1"
"2737","Growarg","Growarg","Growarg","Growarg","Гроварг","Growarg","Growarg","","Growarg","Growarg","37","1"
"2738","Ilkurg","Ilkurg","Ilkurg","Ilkurg","Илкург","Ilkurg","Ilkurg","","Ilkurg","Ilkurg","37","1"
"2739","Simlarg","Simlarg","Simlarg","Simlarg","Симларг","Simlarg","Simlarg","","Simlarg","Simlarg","37","1"
"2740","Sowarg","Sowarg","Sowarg","Sowarg","Соварг","Sowarg","Sowarg","","Sowarg","Sowarg","37","1"
"2741","Wurwarg","Wurwarg","Wurwarg","Wurwarg","Вурварг","Wurwarg","Wurwarg","","Wurwarg","Wurwarg","37","1"
"2742","Skokurg","Skokurg","Skokurg","Skokurg","Скокург","Skokurg","Skokurg","","Skokurg","Skokurg","37","1"
"2743","Khikin","Khikin","Khikin","Khikin","Хикин","Khikin","Khikin","","Khikin","Khikin","37","1"
"2744","Khakin","Khakin","Khakin","Khakin","Хакин","Khakin","Khakin","","Khakin","Khakin","37","1"
"2745","Harmarg","Harmarg","Harmarg","Harmarg","Хармарг","Harmarg","Harmarg","","Harmarg","Harmarg","37","1"
"2746","Skofang","Skofang","Skofang","Skofang","Скофанг","Skofang","Skofang","","Skofang","Skofang","37","1"
"2747","Groskusk","Groskusk","Groskusk","Groskusk","Гроскузг","Groskusk","Groskusk","","Groskusk","Groskusk","37","1"
"2748","Glummarg","Glummarg","Glummarg","Glummarg","Глуммарг","Glummarg","Glummarg","","Glummarg","Glummarg","37","1"
"2749","Lorlag","Lorlag","Lorlag","Lorlag","Лорлаг","Lorlag","Lorlag","","Lorlag","Lorlag","37","1"
"2750","Harkurg","Harkurg","Harkurg","Harkurg","Харкург","Harkurg","Harkurg","","Harkurg","Harkurg","37","1"
"2751","Wollack","Wollack","Wollack","Wollack","Воллак","Wollack","Wollack","","Wollack","Wollack","37","1"
"2752","Vorgen","Vorgen","Vorgen","Vorgen","Ворген","Vorgen","Vorgen","","Vorgen","Vorgen","37","1"
"2753","Kriluck","Kriluck","Kriluck","Kriluck","Крилак","Kriluck","Kriluck","","Kriluck","Kriluck","37","1"
"2754","Markin","Markin","Markin","Markin","Маркин","Markin","Markin","","Markin","Markin","37","1"
"2755","Kantarg","Kantarg","Kantarg","Kantarg","Кантарг","Kantarg","Kantarg","","Kantarg","Kantarg","37","1"
"2756","Morluck","Morluck","Morluck","Morluck","Морлак","Morluck","Morluck","","Morluck","Morluck","37","1"
"2757","Jorskusk","Jorskusk","Jorskusk","Jorskusk","Джорскузг","Jorskusk","Jorskusk","","Jorskusk","Jorskusk","37","1"
"2758","Krimlarg","Krimlarg","Krimlarg","Krimlarg","Кримларг","Krimlarg","Krimlarg","","Krimlarg","Krimlarg","37","1"
"2759","Morwarg","Morwarg","Morwarg","Morwarg","Морварг","Morwarg","Morwarg","","Morwarg","Morwarg","37","1"
"2760","Wulskusk","Wulskusk","Wulskusk","Wulskusk","Вулскуск","Wulskusk","Wulskusk","","Wulskusk","Wulskusk","37","1"
"2761","Varmyrk","Varmyrk","Varmyrk","Varmyrk","Вармирк","Varmyrk","Varmyrk","","Varmyrk","Varmyrk","37","1"
"2762","Karkurg","Karkurg","Karkurg","Karkurg","Каркург","Karkurg","Karkurg","","Karkurg","Karkurg","37","1"
"2763","Glumtusk","Glumtusk","Glumtusk","Glumtusk","Глумклык","Glumtusk","Glumtusk","","Glumtusk","Glumtusk","37","1"
"2764","Logan","Logan","Logan","Logan","Логан","Logan","Logan","","Logan","Logan","37","1"
"2765","Amaris","Amaris","Amaris","Amaris","Амарис","Amaris","Amaris","","Amaris","Amaris","37","1"
"2766","Ishmael","Ishmael","Ishmael","Ishmael","Ишмаэль","Ishmael","Ishmael","","Ishmael","Ishmael","37","1"
"2767","Micah","Micah","Micah","Micah","Мика","Micah","Micah","","Micah","Micah","37","1"
"2768","Caleb","Caleb","Caleb","Caleb","Калеб","Caleb","Caleb","","Caleb","Caleb","37","1"
"2769","Joram","Joram","Joram","Joram","Иорам","Joram","Joram","","Joram","Joram","37","1"
"2770","Uzziah","Uzziah","Uzziah","Uzziah","Узия","Uzziah","Uzziah","","Uzziah","Uzziah","37","1"
"2771","Merodach","Merodach","Merodach","Merodach","Меродах","Merodach","Merodach","","Merodach","Merodach","37","1"
"2772","Holofernes","Holofernes","Holofernes","Holofernes","Олоферн","Holofernes","Holofernes","","Holofernes","Holofernes","37","1"
"2773","Othniel","Othniel","Othniel","Othniel","Отниэль","Othniel","Othniel","","Othniel","Othniel","37","1"
"2774"," le hurleur"," the Howler"," Ululato"," der Heuler"," Рыкающий"," el Aullador"," el Aullador",""," the Howler"," Wyjec","37","2"
"2775"," la bête"," the Beast"," la bestia"," das Biest"," Зверь"," la Bestia"," la Bestia",""," the Beast"," Bestia","37","2"
"2776"," aux crocs blancs"," Whitefang"," Biancazanna"," Weißzahn"," Белый Клык"," Colmilloblanco"," Colmilloblanco",""," Whitefang"," Biały Kieł","37","2"
"2777"," au blanc pelage"," Whitemane"," Biancocrine"," Weißmähne"," Белогривый"," Melenablanca"," Melenablanca",""," Whitemane"," Biała Grzywa","37","2"
"2778"," aux crocs noirs"," Blacktusk"," Zannanera"," Schwarzhauer"," Черный Клык"," Colmillonegro"," Colmillonegro",""," Blacktusk"," Czarny Kieł","37","2"
"2779"," le gris"," Gray"," Grigio"," der Graue"," Серый"," Canoso"," Canoso",""," Gray"," Szary","37","2"
"2780"," le maudit"," the Cursed"," il maledetto"," der Verfluchte"," Проклятый"," el Maldito"," el Maldito",""," the Cursed"," Przeklęty","37","2"
"2781"," Rendall"," Rendall"," Rendall"," Rendall"," Рендолл"," Rasgatodo"," Rasgatodo",""," Rendall"," Rendall","37","2"
"2782"," Channing"," Channing"," Channing"," Channing"," Чаннинг"," Channing"," Channing",""," Channing"," Channing","37","2"
"2783"," Botolf"," Botolf"," Botolf"," Botolf"," Ботольф"," Botolf"," Botolf",""," Botolf"," Botolf","37","2"
"2784"," Weylyn"," Weylyn"," Weylyn"," Weylyn"," Вэйлин"," Weylyn"," Weylyn",""," Weylyn"," Weylyn","37","2"
"2785"," Mingan"," Mingan"," Mingan"," Mingan"," Минган"," Mingan"," Mingan",""," Mingan"," Mingan","37","2"
"2786"," Woolsey"," Woolsey"," Woolsey"," Woolsey"," Вулси"," Woolsey"," Woolsey",""," Woolsey"," Woolsey","37","2"
"2787"," Lowell"," Lowell"," Lowell"," Lowell"," Лоуэлл"," Lowell"," Lowell",""," Lowell"," Lowell","37","2"
"2788"," Phellan"," Phellan"," Phellan"," Phellan"," Феллан"," Phellan"," Phellan",""," Phellan"," Phellan","37","2"
"2789"," Remus"," Remus"," Remus"," Remus"," Ремус"," Remus"," Remus",""," Remus"," Remus","37","2"
"2790"," Lycaeus"," Lycaeus"," Lycaeus"," Lycaeus"," Ликеец"," Lycaeus"," Lycaeus",""," Lycaeus"," Lycaeus","37","2"
"2791"," Romoulus"," Romoulus"," Romolus"," Romoulus"," Ромулос"," Romoulus"," Romoulus",""," Romoulus"," Romoulus","37","2"
"2792"," Fenrir"," Fenrir"," Fenrir"," Fenrir"," Фенрир"," Fenrir"," Fenrir",""," Fenrir"," Fenrir","37","2"
"2793"," aux griffes rouges"," Redfang"," Zannarossa"," Rothauer"," Красный Клык"," Comillorojo"," Comillorojo",""," Redfang"," Czerwony Kieł","37","2"
"2794"," aux crocs rouges"," Redclaws"," Rossartiglio"," Rotklaue"," Кровозуб"," Garrarroja"," Garrarroja",""," Redclaws"," Czerwone Szpony","37","2"
"2795"," le boiteux"," Paws"," Zampe"," Pfotrich"," Лапы"," Zarpas"," Zarpas",""," Paws"," Łapy","37","2"
"2796"," la carpette"," Rugtail"," Codaruvida"," Großschweif"," Хвостодер"," Colapeluda"," Colapeluda",""," Rugtail"," Ogon","37","2"
"2797"," le velu"," the Furry"," il peloso"," der Pelzige"," Мохнатый"," el Peludo"," el Peludo",""," the Furry"," Futrzak","37","2"
"2798"," au blanc pelage"," Whitefur"," Biancopelo"," Weißfell"," Альбинос"," Peloblanco"," Peloblanco",""," Whitefur"," Białe futro","37","2"
"2799"," au bleu pelage"," Bluefur"," Peloblu"," Blaufell"," Синемех"," Peloazul"," Peloazul",""," Bluefur"," Niebieskie futro","37","2"
"2800"," le rugissant"," the Roarer"," il ringhioso"," der Brüllende"," Ревунец"," Rugido"," Rugido",""," the Roarer"," Krzykacz","37","2"
"2801"," le grogneur"," the Growler"," il digrigno"," der Jaulende"," Рычаулл"," Bramido"," Bramido",""," the Growler"," Mruk","37","2"
"2802"," l'aboyeur"," Snarl"," Snarl"," der Knurrer"," Ворчливейший"," Gruñido"," Gruñido",""," Snarl"," Warczący","37","2"
"2803"," aux deux queues"," Twotails"," Duecode"," Zweischweif"," Двухвостый"," Doscolas"," Doscolas",""," Twotails"," Dwuogonny","37","2"
"2804"," l'édenté"," Fangless"," Sdentato"," der Zahnlose"," Беззубый"," Sincolmillos"," Sincolmillos",""," Fangless"," Bezkieł","37","2"
"2805"," le traqueur"," the Tailwager"," Scondinzolo"," der Schweifschwenker"," Подлиза"," el Apuestacola"," el Apuestacola",""," the Tailwager"," Ogonostawiacz","37","2"
"2806","Ab","Ab","Ab","Ab","Эбб","Ab","Ab","","Ab","Ab","38","1"
"2807","Finn","Finn","Finn","Finn","Финн","Finn","Finn","","Finn","Finn","38","1"
"2808","Egill","Egill","Egill","Egill","Эгиль","Egill","Egill","","Egill","Egill","38","1"
"2809","Úlfr","Úlfr","Úlfr","Úlfr","Ульфр","Úlfr","Úlfr","","Úlfr","Úlfr","38","1"
"2810","Hall","Hall","Hall","Hall","Халл","Hall","Hall","","Hall","Hall","38","1"
"2811","Borr","Borr","Borr","Borr","Борр","Borr","Borr","","Borr","Borr","38","1"
"2812","Regin","Regin","Regin","Regin","Реджин","Regin","Regin","","Regin","Regin","38","1"
"2813","Frey","Frey","Frey","Frey","Фрэй","Frey","Frey","","Frey","Frey","38","1"
"2814","Thórr","Thórr","Thórr","Thórr","Тор","Thórr","Thórr","","Thórr","Thórr","38","1"
"2815","Ás","Ás","Ás","Ás","Ас","Ás","Ás","","Ás","Ás","38","1"
"2816","Lang","Lang","Lang","Lang","Ланг","Lang","Lang","","Lang","Lang","38","1"
"2817","Mörd","Mörd","Mörd","Mörd","Мерд","Mörd","Mörd","","Mörd","Mörd","38","1"
"2818","Úlfr","Úlfr","Úlfr","Úlfr","Ульфр","Úlfr","Úlfr","","Úlfr","Úlfr","38","1"
"2819","Hrafn","Hrafn","Hrafn","Hrafn","Храфн","Hrafn","Hrafn","","Hrafn","Hrafn","38","1"
"2820","Ófeigr","Ófeigr","Ófeigr","Ófeigr","Офейр","Ófeigr","Ófeigr","","Ófeigr","Ófeigr","38","1"
"2821","Óspakr","Óspakr","Óspakr","Óspakr","Оспакр","Óspakr","Óspakr","","Óspakr","Óspakr","38","1"
"2822","Drífta","Drífta","Drífta","Drífta","Дрифта","Drífta","Drífta","","Drífta","Drífta","38","1"
"2823","Unnr","Unnr","Unnr","Unnr","Уннр","Unnr","Unnr","","Unnr","Unnr","38","1"
"2824","Snorre","Snorre","Snorre","Snorre","Снорре","Snorre","Snorre","","Snorre","Snorre","38","1"
"2825","Sturla","Sturla","Sturla","Sturla","Стурла","Sturla","Sturla","","Sturla","Sturla","38","1"
"2826","Sveinn","Sveinn","Sveinn","Sveinn","Свейн","Sveinn","Sveinn","","Sveinn","Sveinn","38","1"
"2827","Ketill","Ketill","Ketill","Ketill","Кетилл","Ketill","Ketill","","Ketill","Ketill","38","1"
"2828","Geirr","Geirr","Geirr","Geirr","Гейр","Geirr","Geirr","","Geirr","Geirr","38","1"
"2829","Grímr","Grímr","Grímr","Grímr","Гримр","Grímr","Grímr","","Grímr","Grímr","38","1"
"2830","Grettir","Grettir","Grettir","Grettir","Греттир","Grettir","Grettir","","Grettir","Grettir","38","1"
"2831","Hálfdan","Hálfdan","Hálfdan","Hálfdan","Хальфдан","Hálfdan","Hálfdan","","Hálfdan","Hálfdan","38","1"
"2832","Audunn","Audunn","Audunn","Audunn","Аудунн","Audunn","Audunn","","Audunn","Audunn","38","1"
"2833","Sigurôr","Sigurôr","Sigurôr","Sigurôr","Сигурд","Sigurôr","Sigurôr","","Sigurôr","Sigurôr","38","1"
"2834","Vigfúss","Vigfúss","Vigfúss","Vigfúss","Вигфус","Vigfúss","Vigfúss","","Vigfúss","Vigfúss","38","1"
"2835","Eilif","Eilif","Eilif","Eilif","Эйлиф","Eilif","Eilif","","Eilif","Eilif","38","1"
"2836","Hrafn","Hrafn","Hrafn","Hrafn","Храфн","Hrafn","Hrafn","","Hrafn","Hrafn","38","1"
"2837","Bersi","Bersi","Bersi","Bersi","Берси","Bersi","Bersi","","Bersi","Bersi","38","1"
"2838","Kormak","Kormak","Kormak","Kormak","Кормак","Kormak","Kormak","","Kormak","Kormak","38","1"
"2839","Ofeig","Ofeig","Ofeig","Ofeig","Офейг","Ofeig","Ofeig","","Ofeig","Ofeig","38","1"
"2840","Borit","Borit","Borit","Borit","Борит","Borit","Borit","","Borit","Borit","38","1"
"2841","Skalla","Skalla","Skalla","Skalla","Скалла","Skalla","Skalla","","Skalla","Skalla","38","1"
"2842","Börkr","Börkr","Börkr","Börkr","Боркр","Börkr","Börkr","","Börkr","Börkr","38","1"
"2843","Harald","Harald","Harald","Harald","Харальд","Harald","Harald","","Harald","Harald","38","1"
"2844","Agni","Agni","Agni","Agni","Агни","Agni","Agni","","Agni","Agni","38","1"
"2845","Lôrund","Lôrund","Lôrund","Lôrund","Лорунд","Lôrund","Lôrund","","Lôrund","Lôrund","38","1"
"2846","Óttar","Óttar","Óttar","Óttar","Оттар","Óttar","Óttar","","Óttar","Óttar","38","1"
"2847","Eystein","Eystein","Eystein","Eystein","Эйстейн","Eystein","Eystein","","Eystein","Eystein","38","1"
"2848","Olaf","Olaf","Olaf","Olaf","Олаф","Olaf","Olaf","","Olaf","Olaf","38","1"
"2849","biôrn","biôrn","biôrn","biôrn","бьорн","biôrn","biôrn","","biôrn","biôrn","38","2"
"2850","dór","dór","dór","dór","дор","dór","dór","","dór","dór","38","2"
"2851","frear","frear","frear","frear","фрир","frear","frear","","frear","frear","38","2"
"2852","geirr","geirr","geirr","geirr","гейрр","geirr","geirr","","geirr","geirr","38","2"
"2853","grímr","grímr","grímr","grímr","гримр","grímr","grímr","","grímr","grímr","38","2"
"2854","kell","kell","kell","kell","кель","kell","kell","","kell","kell","38","2"
"2855","ormr","ormr","ormr","ormr","ормр","ormr","ormr","","ormr","ormr","38","2"
"2856","steinn","steinn","steinn","steinn","стейн","steinn","steinn","","steinn","steinn","38","2"
"2857","varôr","varôr","varôr","varôr","варор","varôr","varôr","","varôr","varôr","38","2"
"2858","bera","bera","bera","bera","бера","bera","bera","","bera","bera","38","2"
"2859","bjôrg","bjôrg","bjôrg","bjôrg","бьорг","bjôrg","bjôrg","","bjôrg","bjôrg","38","2"
"2860","dis","dis","dis","dis","дис","dis","dis","","dis","dis","38","2"
"2861","dóra","dóra","dóra","dóra","дора","dóra","dóra","","dóra","dóra","38","2"
"2862","friâr","friâr","friâr","friâr","фрайр","friâr","friâr","","friâr","friâr","38","2"
"2863","gerâr","gerâr","gerâr","gerâr","герар","gerâr","gerâr","","gerâr","gerâr","38","2"
"2864","katla","katla","katla","katla","катл","katla","katla","","katla","katla","38","2"
"2865","veig","veig","veig","veig","вейг","veig","veig","","veig","veig","38","2"
"2866","vôr","vôr","vôr","vôr","вор","vôr","vôr","","vôr","vôr","38","2"
"2867","brandr","brandr","brandr","brandr","брандр","brandr","brandr","","brandr","brandr","38","2"
"2868","fiâr","fiâr","fiâr","fiâr","фиар","fiâr","fiâr","","fiâr","fiâr","38","2"
"2869","finnr","finnr","finnr","finnr","финнр","finnr","finnr","","finnr","finnr","38","2"
"2870","gautr","gautr","gautr","gautr","гаутр","gautr","gautr","","gautr","gautr","38","2"
"2871","gestr","gestr","gestr","gestr","гестр","gestr","gestr","","gestr","gestr","38","2"
"2872","móâr","móâr","móâr","móâr","моар","móâr","móâr","","móâr","móâr","38","2"
"2873","oddr","oddr","oddr","oddr","оддр","oddr","oddr","","oddr","oddr","38","2"
"2874","ólfr","ólfr","ólfr","ólfr","ольфр","ólfr","ólfr","","ólfr","ólfr","38","2"
"2875","valdr","valdr","valdr","valdr","вальдр","valdr","valdr","","valdr","valdr","38","2"
"2876"," Gesturson"," Gesturson"," Gesturson"," Gesturson"," Гестурсон"," Gesturson"," Gesturson",""," Gesturson"," Gesturson","38","2"
"2877"," Staffanson"," Staffanson"," Staffanson"," Staffanson"," Стеффансон"," Staffanson"," Staffanson",""," Staffanson"," Staffanson","38","2"
"2878"," Vigdís"," Vigdís"," Vigdís"," Vigdís"," Вигдис"," Vigdís"," Vigdís",""," Vigdís"," Vigdís","38","2"
"2879"," Pórólfr"," Pórólfr"," Pórólfr"," Pórólfr"," Поролфр"," Pórólfr"," Pórólfr",""," Pórólfr"," Pórólfr","38","2"
