"ID","English","French","Italian","German","Russian","Spanish","Czech","Hungarian","Polish"
"1373","Nikita de Besson","Nikita de Besson","Nikita de Besson","Nikita de Besson","Никита Де Бессон","Nikita de Besson","Nikita de Besson","Nikita de Besson","Nikita de Besson"
"1374","Sania Redwulf","Sania Redwulf","Sania Redwulf","Sania Rotwolf","Сания Красноволк","Sania Redwulf","Sania Redwulf","Sania Redwulf","Sania Redwulf"
"1375","Vikki Skallagrims","Vikki Skallagrims","Vikki Skallagrims","Vikki Skallagrims","Викки Скаллагримс","Vikki Skallagrims","Vikki Skallagrims","Vikki Skallagrims","Vikki Skallagrims"
"1376","Bjork Kallisto","Bjork Kallisto","Bjork Kallisto","Bjork Kallisto","Бьорк Калисто","Bjork Kallisto","Bjork Kallisto","Bjork Kallisto","Bjork Kallisto"
"1377","Areto the Seducer","Areto the Seducer","Areto the Seducer","Areto die Verführerin","Арета Совратительница","Areto the Seducer","Areto the Seducer","Areto the Seducer","Areto the Seducer"
"1378","Hypsipyle Dolope","Hypsipyle Dolope","Hypsipyle Dolope","Hypsipyle Dolope","Гипсипила Долопе","Hypsipyle Dolope","Hypsipyle Dolope","Hypsipyle Dolope","Hypsipyle Dolope"
"1379","Lykopis Molpadia","Lykopis Molpadia","Lykopis Molpadia","Lykopis Molpadia","Ликопис Молпадия","Lykopis Molpadia","Lykopis Molpadia","Lykopis Molpadia","Lykopis Molpadia"
"1380","Alkaia Polemusa","Alkaia Polemusa","Alkaia Polemusa","Alkaia Polemusa","Алкея Полемуза","Alkaia Polemusa","Alkaia Polemusa","Alkaia Polemusa","Alkaia Polemusa"
"1381","Barbida Aina","Barbida Aina","Barbida Aina","Barbida Aina","Барбида Аина","Barbida Aina","Barbida Aina","Barbida Aina","Barbida Aina"
"1382","Pisto Andro","Pisto Andro","Pisto Andro","Pisto Andro","Писто Андро","Pisto Andro","Pisto Andro","Pisto Andro","Pisto Andro"
"1383","Andromeda Otrere","Andromeda Otrere","Andromeda Otrere","Andromeda Otrere","Андромеда Отрера","Andromeda Otrere","Andromeda Otrere","Andromeda Otrere","Andromeda Otrere"
"1384","Anaea Antianara","Anaea Antianara","Anaea Antianara","Anaea Antianara","Анэя Антианара","Anaea Antianara","Anaea Antianara","Anaea Antianara","Anaea Antianara"
"1385","Toxophile the Dancer","Toxophile the Dancer","Toxophile the Dancer","Toxophile die Tänzerin","Токсофила Танцовщица","Toxophile the Dancer","Toxophile the Dancer","Toxophile the Dancer","Toxophile the Dancer"
"1386","Tesipyle Synope","Tesipyle Synope","Tesipyle Synope","Tesipyle Synope","Тезипила Синопа","Tesipyle Synope","Tesipyle Synope","Tesipyle Synope","Tesipyle Synope"
"1387","Babida Penthesilea","Babida Penthesilea","Babida Penthesilea","Babida Penthesilea","Барбида Пентесилея","Babida Penthesilea","Babida Penthesilea","Babida Penthesilea","Babida Penthesilea"
"1388","Anymone Mantamer","Anymone Mantamer","Anymone Mantamer","Anymone die Zähmerin","Анемона Мужегубительница","Anymone Mantamer","Anymone Mantamer","Anymone Mantamer","Anymone Mantamer"
"1389","Areto the Queen of the Stars","Areto the Queen of the Stars","Areto the Queen of the Stars","Areto die Sternenkönigin","Арета Венценосная","Areto the Queen of the Stars","Areto the Queen of the Stars","Areto the Queen of the Stars","Areto the Queen of the Stars"
"1390","Arsippe Valasca","Arsippe Valasca","Arsippe Valasca","Arsippe Valasca","Арсиппа Валаско","Arsippe Valasca","Arsippe Valasca","Arsippe Valasca","Arsippe Valasca"
"1391","Kydoime Pleiades","Kydoime Pleiades","Kydoime Pleiades","Kydoime Pleiades","Кудоима Плеяда","Kydoime Pleiades","Kydoime Pleiades","Kydoime Pleiades","Kydoime Pleiades"
"1392","Ainippe Otrete","Ainippe Otrete","Ainippe Otrete","Ainippe Otrete","Аиниппа Отрет","Ainippe Otrete","Ainippe Otrete","Ainippe Otrete","Ainippe Otrete"
"1393","Aedon Myrine","Aedon Myrine","Aedon Myrine","Aedon Myrine","Аэдона Мирина","Aedon Myrine","Aedon Myrine","Aedon Myrine","Aedon Myrine"
"1394","Athtar Brazen Face","Athtar Brazen Face","Athtar Brazen Face","Athtar Silberblick","Иштар Медноликая","Athtar Brazen Face","Athtar Brazen Face","Athtar Brazen Face","Athtar Brazen Face"
"1395","Archippe Camilla","Archippe Camilla","Archippe Camilla","Archippe Camilla","Архиппа Камилла","Archippe Camilla","Archippe Camilla","Archippe Camilla","Archippe Camilla"
"1396","Alkithoe Bright Moon","Alkithoe Bright Moon","Alkithoe Bright Moon","Alkithoe Hellmond","Алкифоя Луноликая","Alkithoe Bright Moon","Alkithoe Bright Moon","Alkithoe Bright Moon","Alkithoe Bright Moon"
"1397","Tereis Spearwielder","Tereis Spearwielder","Tereis Spearwielder","Tereis Speerwerferin","Тереза Копейщица","Tereis Spearwielder","Tereis Spearwielder","Tereis Spearwielder","Tereis Spearwielder"
"1398","Agave Antianara","Agave Antianara","Agave Antianara","Agave Antianara","Агава Антианара","Agave Antianara","Agave Antianara","Agave Antianara","Agave Antianara"
"1399","Okypous Antandra","Okypous Antandra","Okypous Antandra","Okypous Antandra","Окипос Антандра","Okypous Antandra","Okypous Antandra","Okypous Antandra","Okypous Antandra"
"1400","Alkinoe the Huntress","Alkinoe the Huntress","Alkinoe the Huntress","Alkinoe die Jägerin","Алкиноя Охотница","Alkinoe the Huntress","Alkinoe the Huntress","Alkinoe the Huntress","Alkinoe the Huntress"
"1401","Apriate Evadne","Apriate Evadne","Apriate Evadne","Apriate Evadne","Априата Эвадна","Apriate Evadne","Apriate Evadne","Apriate Evadne","Apriate Evadne"
"1402","Pisto Orithia","Pisto Orithia","Pisto Orithia","Pisto Orithia","Писто Орифия","Pisto Orithia","Pisto Orithia","Pisto Orithia","Pisto Orithia"
"1403","Antianara Valasca","Antianara Valasca","Antianara Valasca","Antianara Valasca","Антианара Валаско","Antianara Valasca","Antianara Valasca","Antianara Valasca","Antianara Valasca"
"1404","Oigme the Awaker","Oigme the Awaker","Oigme the Awaker","Oigme die Erweckerin","Энигма Пробуждающая","Oigme the Awaker","Oigme the Awaker","Oigme the Awaker","Oigme the Awaker"
"1405","Ktesippe Barkida","Ktesippe Barkida","Ktesippe Barkida","Ktesippe Barkida","Ксантиппа Баркида","Ktesippe Barkida","Ktesippe Barkida","Ktesippe Barkida","Ktesippe Barkida"
"1406","Anaea Dolope","Anaea Dolope","Anaea Dolope","Anaea Dolope","Анэя Долопе","Anaea Dolope","Anaea Dolope","Anaea Dolope","Anaea Dolope"
"1407","Agamede Doris","Agamede Doris","Agamede Doris","Agamede Doris","Агамеда Дорис","Agamede Doris","Agamede Doris","Agamede Doris","Agamede Doris"
"1408","Toxophile Aina","Toxophile Aina","Toxophile Aina","Toxophile Aina","Токсофила Аина","Toxophile Aina","Toxophile Aina","Toxophile Aina","Toxophile Aina"
"1409","Apiate Alcinoe","Apiate Alcinoe","Apiate Alcinoe","Apiate Alcinoe","Апиат Алкиноя","Apiate Alcinoe","Apiate Alcinoe","Apiate Alcinoe","Apiate Alcinoe"
"1410","Alkaia Otrere","Alkaia Otrere","Alkaia Otrere","Alkaia Otrere","Алкея Отрера","Alkaia Otrere","Alkaia Otrere","Alkaia Otrere","Alkaia Otrere"
"1411","Agave Marpesia","Agave Marpesia","Agave Marpesia","Agave Marpesia","Агава Марпесия","Agave Marpesia","Agave Marpesia","Agave Marpesia","Agave Marpesia"
"1412","Agamede the Invoker","Agamede the Invoker","Agamede the Invoker","Agamede die Beschwörerin","Агамеда Призывающая","Agamede the Invoker","Agamede the Invoker","Agamede the Invoker","Agamede the Invoker"
"1413","Oigme Celaeno","Oigme Celaeno","Oigme Celaeno","Oigme Celaeno","Энигма Селена","Oigme Celaeno","Oigme Celaeno","Oigme Celaeno","Oigme Celaeno"
"1414","Toxaris the Dancer","Toxaris the Dancer","Toxaris the Dancer","Toxaris die Tänzerin","Токсарис Танцовщица","Toxaris the Dancer","Toxaris the Dancer","Toxaris the Dancer","Toxaris the Dancer"
"1415","Tesipyle Pleiades","Tesipyle Pleiades","Tesipyle Pleiades","Tesipyle Pleiades","Тезипила Плеяда","Tesipyle Pleiades","Tesipyle Pleiades","Tesipyle Pleiades","Tesipyle Pleiades"
"1416","Atanea the Beautiful","Atanea the Beautiful","Atanea the Beautiful","Atanea die Schöne","Атанея Прекрасная","Atanea the Beautiful","Atanea the Beautiful","Atanea the Beautiful","Atanea the Beautiful"
"1417","Tereis the Awaker","Tereis the Awaker","Tereis the Awaker","Tereis the Awaker","Тереза Пробуждающая","Tereis the Awaker","Tereis the Awaker","Tereis the Awaker","Tereis the Awaker"
"1418","Athtar Dolope","Athtar Dolope","Athtar Dolope","Athtar Dolope","Иштар Долопе","Athtar Dolope","Athtar Dolope","Athtar Dolope","Athtar Dolope"
"1419","Ainippe Aina","Ainippe Aina","Ainippe Aina","Ainippe Aina","Аиниппа Аина","Ainippe Aina","Ainippe Aina","Ainippe Aina","Ainippe Aina"
"1420","Bardida Derinoe","Bardida Derinoe","Bardida Derinoe","Bardida Derinoe","Бардида Дериноя","Bardida Derinoe","Bardida Derinoe","Bardida Derinoe","Bardida Derinoe"
"1421","Anaxilea Alcinoe","Anaxilea Alcinoe","Anaxilea Alcinoe","Anaxilea Alcinoe","Анаксилея Алкиноя","Anaxilea Alcinoe","Anaxilea Alcinoe","Anaxilea Alcinoe","Anaxilea Alcinoe"
"1422","Apriate Derinoe","Apriate Derinoe","Apriate Derinoe","Apriate Derinoe","Априата Дериноя","Apriate Derinoe","Apriate Derinoe","Apriate Derinoe","Apriate Derinoe"
"1423","Andromache Deino","Andromache Deino","Andromache Deino","Andromache Deino","Андромаха Дейно","Andromache Deino","Andromache Deino","Andromache Deino","Andromache Deino"
"1424","Anaxilea Molpadia","Anaxilea Molpadia","Anaxilea Molpadia","Anaxilea Molpadia","Анаксилея Молпадия","Anaxilea Molpadia","Anaxilea Molpadia","Anaxilea Molpadia","Anaxilea Molpadia"
"1425","Aganippe the Beautiful","Aganippe the Beautiful","Aganippe the Beautiful","Aganippe die Schöne","Аганиппа Прекрасная","Aganippe the Beautiful","Aganippe the Beautiful","Aganippe the Beautiful","Aganippe the Beautiful"
"1426","Oigme the Enchanter","Oigme the Enchanter","Oigme the Enchanter","Oigme die Bezauberin","Энигма Чародейка","Oigme the Enchanter","Oigme the Enchanter","Oigme the Enchanter","Oigme the Enchanter"
"1427","Alkaia Aina","Alkaia Aina","Alkaia Aina","Alkaia Aina","Алкея Аина","Alkaia Aina","Alkaia Aina","Alkaia Aina","Alkaia Aina"
"1428","Okypous Pleiades","Okypous Pleiades","Okypous Pleiades","Okypous Pleiades","Окипос Плеяда","Okypous Pleiades","Okypous Pleiades","Okypous Pleiades","Okypous Pleiades"
"1429","Hypsipyle Atandre","Hypsipyle Atandre","Hypsipyle Atandre","Hypsipyle Atandre","Гипсипила Атандра","Hypsipyle Atandre","Hypsipyle Atandre","Hypsipyle Atandre","Hypsipyle Atandre"
"1430","Antibrote","Antibrote","Antibrote","Antibrote","Антиброта","Antibrote","Antibrote","","Antibrote"
"1431","Arsippe Pleiades","Arsippe Pleiades","Arsippe Pleiades","Arsippe Pleiades","Арсиппа Плеяда","Arsippe Pleiades","Arsippe Pleiades","Arsippe Pleiades","Arsippe Pleiades"
"1432","Camilla","Camilla","Camilla","Camilla","Камилла","Camilla","Camilla","Camilla","Camilla"
"1433","Julia Myrine","Julia Myrine","Julia Myrine","Julia Myrine","Джулия Мирина","Julia Myrine","Julia Myrine","Julia Myrine","Julia Myrine"
"1434","Thraso the Huntress","Thraso the Huntress","Thraso the Huntress","Thraso die Jägerin","Трасо Охотница","Thraso the Huntress","Thraso the Huntress","Thraso the Huntress","Thraso the Huntress"
"1435","Pleidas Lykopis","Pleidas Lykopis","Pleidas Lykopis","Pleidas Lykopis","Плеяда Ликопис","Pleidas Lykopis","Pleidas Lykopis","Pleidas Lykopis","Pleidas Lykopis"
"1436","Doris Anaea","Doris Anaea","Doris Anaea","Doris Anaea","Дорис Анэя","Doris Anaea","Doris Anaea","Doris Anaea","Doris Anaea"
"1437","Aina Alkinoe","Aina Alkinoe","Aina Alkinoe","Aina Alkinoe","Аина Алкиноя","Aina Alkinoe","Aina Alkinoe","Aina Alkinoe","Aina Alkinoe"
"1438","Dolope andromeda","Dolope andromeda","Dolope andromeda","Dolope Andromeda","Долопа Андромеда","Dolope andromeda","Dolope andromeda","Dolope andromeda","Dolope andromeda"
"1439","Orithia Tesipyle","Orithia Tesipyle","Orithia Tesipyle","Orithia Tesipyle","Орифия Тезипила","Orithia Tesipyle","Orithia Tesipyle","Orithia Tesipyle","Orithia Tesipyle"
"1440","Valasca Areto","Valasca Areto","Valasca Areto","Valasca Areto","Валаско Арета","Valasca Areto","Valasca Areto","Valasca Areto","Valasca Areto"
"1441","Barbida Derinoe","Barbida Derinoe","Barbida Derinoe","Barbida Derinoe","Барбида Дериноя","Barbida Derinoe","Barbida Derinoe","Barbida Derinoe","Barbida Derinoe"
"1442","Kydoime Antibrote","Kydoime Antibrote","Kydoime Antibrote","Kydoime Antibrote","Кудоима Антиброта","Kydoime Antibrote","Kydoime Antibrote","Kydoime Antibrote","Kydoime Antibrote"
"1443","Scyleia the Seducer","Scyleia the Seducer","Scyleia the Seducer","Scyleia die Verführerin","Скилея Совратительница","Scyleia the Seducer","Scyleia the Seducer","Scyleia the Seducer","Scyleia the Seducer"
"1444","Julia Clareree","Julia Clareree","Julia Clareree","Julia Clareree","Джулия Кларер","Julia Clareree","Julia Clareree","Julia Clareree","Julia Clareree"
"1445","Anaea Orthia","Anaea Orthia","Anaea Orthia","Anaea Orthia","Анэя Орифия","Anaea Orthia","Anaea Orthia","Anaea Orthia","Anaea Orthia"
"1446","Aedon the Beautiful","Aedon the Beautiful","Aedon the Beautiful","Aedon die Schöne","Аэдона Прекрасная","Aedon the Beautiful","Aedon the Beautiful","Aedon the Beautiful","Aedon the Beautiful"
"1447","Atanea Brazen Face","Atanea Brazen Face","Atanea Brazen Face","Atanea Silberblick","Атанея Медноликая","Atanea Brazen Face","Atanea Brazen Face","Atanea Brazen Face","Atanea Brazen Face"
"1448","Tereis Camilla","Tereis Camilla","Tereis Camilla","Tereis Camilla","Тереза Камилла","Tereis Camilla","Tereis Camilla","Tereis Camilla","Tereis Camilla"
"1449","Agave Spearwielder","Agave Spearwielder","Agave Spearwielder","Agave Speerwerferin","Агава Копейщица","Agave Spearwielder","Agave Spearwielder","Agave Spearwielder","Agave Spearwielder"
"1450","Androdameia Eumache","Androdameia Eumache","Androdameia Eumache","Androdameia Eumache","Андродамея Эумахия","Androdameia Eumache","Androdameia Eumache","Androdameia Eumache","Androdameia Eumache"
"1451","Alkaia Antianara","Alkaia Antianara","Alkaia Antianara","Alkaia Antianara","Алкея Антианара","Alkaia Antianara","Alkaia Antianara","Alkaia Antianara","Alkaia Antianara"
"1452","Anaxilea Mantamer","Anaxilea Mantamer","Anaxilea Mantamer","Anaxilea die Zähmerin","Анаксилея Мужегубительница","Anaxilea Mantamer","Anaxilea Mantamer","Anaxilea Mantamer","Anaxilea Mantamer"
"1453","Akantha Marpesia","Akantha Marpesia","Akantha Marpesia","Akantha Marpesia","Аканта Марпесия","Akantha Marpesia","Akantha Marpesia","Akantha Marpesia","Akantha Marpesia"
"1454","Agamede Molpadia","Agamede Molpadia","Agamede Molpadia","Agamede Molpadia","Агамеда Молпадия","Agamede Molpadia","Agamede Molpadia","Agamede Molpadia","Agamede Molpadia"
"1455","Evadne Telepyleia","Evadne Telepyleia","Evadne Telepyleia","Evadne Telepyleia","Эвадна Телепалея","Evadne Telepyleia","Evadne Telepyleia","Evadne Telepyleia","Evadne Telepyleia"
"1456","Antinara Alcippe","Antinara Alcippe","Antinara Alcippe","Antinara Alcippe","Антинара Алкиппа","Antinara Alcippe","Antinara Alcippe","Antinara Alcippe","Antinara Alcippe"
"1457","Arsippe Ainia","Arsippe Ainia","Arsippe Ainia","Arsippe Ainia","Арсиппа Эния","Arsippe Ainia","Arsippe Ainia","Arsippe Ainia","Arsippe Ainia"
"1458","Barbida Valasca","Barbida Valasca","Barbida Valasca","Barbida Valasca","Барбида Валашка","Barbida Valasca","Barbida Valasca","Barbida Valasca","Barbida Valasca"
"1459","Telepyleia","Telepyleia","Telepyleia","Telepyleia","Телепалея","Telepyleia","Telepyleia","Telepyleia","Telepyleia"
"1460","Akantha the Seducer","Akantha the Seducer","Akantha the Seducer","Akantha die Verführerin","Аканта Совратительница","Akantha the Seducer","Akantha the Seducer","Akantha the Seducer","Akantha the Seducer"
"1461","Ktesippe Bright Moon","Ktesippe Bright Moon","Ktesippe Bright Moon","Ktesippe Hellmond","Ксантиппа Луноликая","Ktesippe Bright Moon","Ktesippe Bright Moon","Ktesippe Bright Moon","Ktesippe Bright Moon"
"1462","Anaea Antianara","Anaea Antianara","Anaea Antianara","Anaea Antianara","Анэя Антианара","Anaea Antianara","Anaea Antianara","Anaea Antianara","Anaea Antianara"
"1463","Erynethon Undotauré","Erynethon Undotauré","Erynethon Undotauré","Erynethon Undotauré","Эринетон Ундотаурэ","Erynethon Undotauré","","","Erynethon Undotauré"
"1464","Barsidhdon Nhamirellyn","Barsidhdon Nhamirellyn","Barsidhdon Nhamirellyn","Barsidhdon Nhamirellyn","Барсиддон Намиреллин","Barsidhdon Nhamirellyn","Barsidhdon Nhamirellyn","Barsidhdon Nhamirellyn","Barsidhdon Nhamirellyn"
"1465","Verphendon Mithlithelen","Verphendon Mithlithelen","Verphendon Mithlithelen","Verphendon Mithlithelen","Верфендон Митлителен","Verphendon Mithlithelen","Verphendon Mithlithelen","Verphendon Mithlithelen","Verphendon Mithlithelen"
"1466","Kanonion Falanae","Kanonion Falanae","Kanonion Falanae","Kanonion Falanae","Канонион Фаланэ","Kanonion Falanae","Kanonion Falanae","Kanonion Falanae","Kanonion Falanae"
"1467","Ainbund Wernarsyr","Ainbund Wernarsyr","Ainbund Wernarsyr","Ainbund Wernarsyr","Эйнбунд Вернарсир","Ainbund Wernarsyr","Ainbund Wernarsyr","Ainbund Wernarsyr","Ainbund Wernarsyr"
"1468","Mortaleth Galonren","Mortaleth Galonren","Mortaleth Galonren","Mortaleth Galonren","Морталет Галонрен","Mortaleth Galonren","Mortaleth Galonren","Mortaleth Galonren","Mortaleth Galonren"
"1469","Galanaias Falanae","Galanaias Falanae","Galanaias Falanae","Galanaias Falanae","Галанаис Фаланэ","Galanaias Falanae","Galanaias Falanae","Galanaias Falanae","Galanaias Falanae"
"1470","Barsidhdon Kisdirsyr","Barsidhdon Kisdirsyr","Barsidhdon Kisdirsyr","Barsidhdon Kisdirsyr","Барсиддон Кисдирсир","Barsidhdon Kisdirsyr","Barsidhdon Kisdirsyr","Barsidhdon Kisdirsyr","Barsidhdon Kisdirsyr"
"1471","Taldagdorren Yraueth","Taldagdorren Yraueth","Taldagdorren Yraueth","Taldagdorren Yraueth","Талдагдоррен Ираэт","Taldagdorren Yraueth","Taldagdorren Yraueth","Taldagdorren Yraueth","Taldagdorren Yraueth"
"1472","Erucion Falaron","Erucion Falaron","Erucion Falaron","Erucion Falaron","Эруцион Фаларон","Erucion Falaron","Erucion Falaron","Erucion Falaron","Erucion Falaron"
"1473","Menanonon Sharairin","Menanonon Sharairin","Menanonon Sharairin","Menanonon Sharairin","Менанонон Шараирин","Menanonon Sharairin","Menanonon Sharairin","Menanonon Sharairin","Menanonon Sharairin"
"1474","Faebellaien Tinuren","Faebellaien Tinuren","Faebellaien Tinuren","Faebellaien Tinuren","Фебеллиэн Тинурен","Faebellaien Tinuren","Faebellaien Tinuren","Faebellaien Tinuren","Faebellaien Tinuren"
"1475","Horthion Tinuren","Horthion Tinuren","Horthion Tinuren","Horthion Tinuren","Хорфион Тинурен","Horthion Tinuren","Horthion Tinuren","Horthion Tinuren","Horthion Tinuren"
"1476","Horthion Toralitheil","Horthion Toralitheil","Horthion Toralitheil","Horthion Toralitheil","Хорфион Торалитеил","Horthion Toralitheil","Horthion Toralitheil","Horthion Toralitheil","Horthion Toralitheil"
"1477","Maerion Galonren","Maerion Galonren","Maerion Galonren","Maerion Galonren","Маэрион Галонрен","Maerion Galonren","Maerion Galonren","Maerion Galonren","Maerion Galonren"
"1478","Overgalad Wernarsyr","Overgalad Wernarsyr","Overgalad Wernarsyr","Overgalad Wernarsyr","Овергалад Вернарсир","Overgalad Wernarsyr","Overgalad Wernarsyr","Overgalad Wernarsyr","Overgalad Wernarsyr"
"1479","Agorbaar Nhamirellyn","Agorbaar Nhamirellyn","Agorbaar Nhamirellyn","Agorbaar Nhamirellyn","Агорбар Намиреллин","Agorbaar Nhamirellyn","Agorbaar Nhamirellyn","Agorbaar Nhamirellyn","Agorbaar Nhamirellyn"
"1480","Valen Swift","Valen Swift","Valen Swift","Valen Swift","Вален Быстрый","Valen Swift","Valen Swift","Valen Swift","Valen Swift"
"1481","Lauriala Vinetree","Lauriala Vinetree","Lauriala Vinetree","Lauriala Weinrank","Лауриала Лоза","Lauriala Vinetree","Lauriala Vinetree","Lauriala Vinetree","Lauriala Vinetree"
"1482","Highhelm Lyrpadre","Highhelm Lyrpadre","Highhelm Lyrpadre","Raufhelm Lyrpadre","Бацинет Лирпадре","Highhelm Lyrpadre","Highhelm Lyrpadre","Highhelm Lyrpadre","Highhelm Lyrpadre"
"1483","Ibrahim Goldawn","Ibrahim Goldawn","Ibrahim Goldawn","Ibrahim Dämmergold","Ибрагим Златосвет","Ibrahim Goldawn","Ibrahim Goldawn","Ibrahim Goldawn","Ibrahim Goldawn"
"1484","Calmornon Tinulond","Calmornon Tinulond","Calmornon Tinulond","Calmornon Tinulond","Кэлморнон Тинулонд","Calmornon Tinulond","Calmornon Tinulond","Calmornon Tinulond","Calmornon Tinulond"
"1485","Ainbund Tathdiir","Ainbund Tathdiir","Ainbund Tathdiir","Ainbund Tathdiir","Эйнбунд Тадиир","Ainbund Tathdiir","Ainbund Tathdiir","Ainbund Tathdiir","Ainbund Tathdiir"
"1486","Taldagdorren Aeraeme","Taldagdorren Aeraeme","Taldagdorren Aeraeme","Taldagdorren Aeraeme","Талдагдоррен Аэраме","Taldagdorren Aeraeme","Taldagdorren Aeraeme","Taldagdorren Aeraeme","Taldagdorren Aeraeme"
"1487","Anthnibien Noroos","Anthnibien Noroos","Anthnibien Noroos","Anthnibien Noroos","Антибиэн Нороос","Anthnibien Noroos","Anthnibien Noroos","Anthnibien Noroos","Anthnibien Noroos"
"1488","Lucien Swift","Lucien Swift","Lucien Swift","Lucien Swift","Люсьен Быстрый","Lucien Swift","Lucien Swift","Lucien Swift","Lucien Swift"
"1489","Erucion Shardragiel","Erucion Shardragiel","Erucion Shardragiel","Erucion Shardragiel","Эрусион Шардрагиэль","Erucion Shardragiel","Erucion Shardragiel","Erucion Shardragiel","Erucion Shardragiel"
"1490","Agorbaar Matholar","Agorbaar Matholar","Agorbaar Matholar","Agorbaar Matholar","Агорбар Матолар","Agorbaar Matholar","Agorbaar Matholar","Agorbaar Matholar","Agorbaar Matholar"
"1491","Overgalad Galonelon","Overgalad Galonelon","Overgalad Galonelon","Overgalad Galonelon","Овергалад Галонелон","Overgalad Galonelon","Overgalad Galonelon","Overgalad Galonelon","Overgalad Galonelon"
"1492","Breganien Malamyr","Breganien Malamyr","Breganien Malamyr","Breganien Malamyr","Бреганиэн Маламир","Breganien Malamyr","Breganien Malamyr","Breganien Malamyr","Breganien Malamyr"
"1493","Morthannin Runéssel","Morthannin Runéssel","Morthannin Runéssel","Morthannin Runéssel","Мортанин Рунессель","Morthannin Runéssel","","","Morthannin Runéssel"
"1494","Úpadgalad Runéssel","Úpadgalad Runéssel","Úpadgalad Runéssel","Úpadgalad Runéssel","Упадгалад Рунессель","Úpadgalad Runéssel","","","Úpadgalad Runéssel"
"1495","Verdur Elenrina","Verdur Elenrina","Verdur Elenrina","Verdur Elenrina","Вердур Эленрина","Verdur Elenrina","Verdur Elenrina","Verdur Elenrina","Verdur Elenrina"
"1496","Emerdor Nallelwa","Emerdor Nallelwa","Emerdor Nallelwa","Emerdor Nallelwa","Эмердор Налельва","Emerdor Nallelwa","Emerdor Nallelwa","Emerdor Nallelwa","Emerdor Nallelwa"
"1497","Tûrin Shaladeth","Tûrin Shaladeth","Tûrin Shaladeth","Tûrin Shaladeth","Трин Шаладиэт","Tûrin Shaladeth","","","Tûrin Shaladeth"
"1498","Dûrion Shalandalan","Dûrion Shalandalan","Dûrion Shalandalan","Dûrion Shalandalan","Дрион Шаландалан","Dûrion Shalandalan","","","Dûrion Shalandalan"
"1499","Kanonion Cromviel","Kanonion Cromviel","Kanonion Cromviel","Kanonion Cromviel","Канонион Кромвиэль","Kanonion Cromviel","Kanonion Cromviel","Kanonion Cromviel","Kanonion Cromviel"
"1500","Menanonon Wernarsyr","Menanonon Wernarsyr","Menanonon Wernarsyr","Menanonon Wernarsyr","Менанонон Вернарсир","Menanonon Wernarsyr","Menanonon Wernarsyr","Menanonon Wernarsyr","Menanonon Wernarsyr"
"1501","Aearian Mithlithelen","Aearian Mithlithelen","Aearian Mithlithelen","Aearian Mithlithelen","Аэриан Митлетелен","Aearian Mithlithelen","Aearian Mithlithelen","Aearian Mithlithelen","Aearian Mithlithelen"
"1502","îdhar Galonlinde","îdhar Galonlinde","îdhar Galonlinde","îdhar Galonlinde","Идхар Галонлиндэ","îdhar Galonlinde","","","îdhar Galonlinde"
"1503","Rochenbund Aeraeme","Rochenbund Aeraeme","Rochenbund Aeraeme","Rochenbund Aeraeme","Рохенбунд Аэраме","Rochenbund Aeraeme","Rochenbund Aeraeme","Rochenbund Aeraeme","Rochenbund Aeraeme"
"1504","Verdur Tunuviel","Verdur Tunuviel","Verdur Tunuviel","Verdur Tunuviel","Вердур Танавиэль","Verdur Tunuviel","Verdur Tunuviel","Verdur Tunuviel","Verdur Tunuviel"
"1505","Erynethon Falanae","Erynethon Falanae","Erynethon Falanae","Erynethon Falanae","Эринетон Фаланэ","Erynethon Falanae","Erynethon Falanae","Erynethon Falanae","Erynethon Falanae"
"1506","Kailduil Shalandalan","Kailduil Shalandalan","Kailduil Shalandalan","Kailduil Shalandalan","Каилдуил Шаландалан","Kailduil Shalandalan","Kailduil Shalandalan","Kailduil Shalandalan","Kailduil Shalandalan"
"1507","Gonmudaedon Larentholial","Gonmudaedon Larentholial","Gonmudaedon Larentholial","Gonmudaedon Larentholial","Гонмудаэдон Ларентолиаль","Gonmudaedon Larentholial","Gonmudaedon Larentholial","Gonmudaedon Larentholial","Gonmudaedon Larentholial"
"1508","Idhrenmaedhdraug Larentholial","Idhrenmaedhdraug Larentholial","Idhrenmaedhdraug Larentholial","Idhrenmaedhdraug Larentholial","Идренмедрауг Ларентолиаль","Idhrenmaedhdraug Larentholial","Idhrenmaedhdraug Larentholial","Idhrenmaedhdraug Larentholial","Idhrenmaedhdraug Larentholial"
"1509","Daermeluion Feltanmae","Daermeluion Feltanmae","Daermeluion Feltanmae","Daermeluion Feltanmae","Дэрмелион Фелтанмэ","Daermeluion Feltanmae","Daermeluion Feltanmae","Daermeluion Feltanmae","Daermeluion Feltanmae"
"1510","Ainbund Galonlinde","Ainbund Galonlinde","Ainbund Galonlinde","Ainbund Galonlinde","Эйнбунд Галолинде","Ainbund Galonlinde","Ainbund Galonlinde","Ainbund Galonlinde","Ainbund Galonlinde"
"1511","Rochenbund Aerarina","Rochenbund Aerarina","Rochenbund Aerarina","Rochenbund Aerarina","Рохенбунд Аэрарина","Rochenbund Aerarina","Rochenbund Aerarina","Rochenbund Aerarina","Rochenbund Aerarina"
